"","uni","metric","metrix","stage","col","ASnormalized.t9_ahya3.002r","pval"
"669","nTau2.23.1","nTau2","11","23","2",2.0156759127907,0.00000000000159343258272784
"670","nCon.23.1","nCon","12","23","2",0.714405845515088,0.0000000144934978788898
"671","Fm.23.1","Fm","13","23","2",2238.83518027211,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000427722844131728
"672","Fo.23.1","Fo","14","23","2",1877.73228555101,0.00000000000000000000000000000000000000000000000000000000000000000000435094797096564
"673","Quant.24.1","Quant","1","24","2",0.173880569712776,0.000000000000000000000000000000000000000000000000000000000000000000000171831733577647
"674","Sigma.24.1","Sigma","2","24","2",4.63020847778169,0.000000000000000000000000000000000000000000918124879749407
"675","Connect.24.1","Connect","3","24","2",0.206407515666764,0.0000000306409280600814
"676","Tau1.24.1","Tau1","4","24","2",1500.7853962755,0.000000000000000011360912334513
"677","Tau2.24.1","Tau2","5","24","2",2186970.31617615,0.00000000013141798701289
"678","NPQ.24.1","NPQ","6","24","2",0.499948504144675,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204917691844482
"679","qP.24.1","qP","7","24","2",0.956276418321314,0.000000000000000000000000000000000000000000000000000000000000000000000343663467155294
"680","ABQ.24.1","ABQ","8","24","2",-0.0495612971326229,0.000000000000000000000000000000000000000000918124879749407
